Name, UID / Member #, Email Address, Emergency Contact, Registration Date
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:01t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:00t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:01t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-11-14 12:56t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-11-11 22:47t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-10-13 11:10t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-11-14 12:32t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:01t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:00t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:01t
John Doe,"112950798",mloughry@umd.edu,Jane Doe 8088675309,2022-08-29 6:00t
   ," ", , , 

Waitlist, , , , 
,,,,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
Firstname Lastname,112950798,anon@umd.edu,3012264456,
